id,room_id,contact_id,check_in_date,check_out_date,nights,nightly_rate,total_amount,event_id,booking_type,status,guest_name,notes,created_at
41,3,,2024-09-07,2024-09-08,1,7000,7000,13,event_overnight,completed,James Karanja,Overnight stay for Garden Party guest,2024-09-04T12:00:00
42,4,,2024-09-21,2024-09-23,2,7000,14000,14,event_overnight,completed,Caroline Muthama,Overnight stay for Birthday Party guest,2024-09-16T12:00:00
43,2,,2024-09-21,2024-09-23,2,7000,14000,14,event_overnight,completed,Beatrice Mwende,Overnight stay for Birthday Party guest,2024-09-17T12:00:00
44,1,,2024-10-05,2024-10-07,2,8000,16000,15,event_overnight,completed,Diana Cherop,Overnight stay for Wedding guest,2024-10-04T12:00:00
45,5,,2024-10-05,2024-10-06,1,7000,7000,15,event_overnight,completed,Charles Ogutu,Overnight stay for Wedding guest,2024-10-03T12:00:00
46,2,,2024-10-05,2024-10-06,1,7000,7000,15,event_overnight,completed,Samuel Kirui,Overnight stay for Wedding guest,2024-10-02T12:00:00
47,3,,2024-10-12,2024-10-14,2,7000,14000,16,event_overnight,completed,Esther Nyokabi,Overnight stay for Corporate Retreat guest,2024-10-08T12:00:00
48,1,,2024-11-02,2024-11-04,2,8000,16000,18,event_overnight,completed,Rose Adhiambo,Overnight stay for Wedding guest,2024-10-31T12:00:00
49,2,,2024-11-02,2024-11-03,1,7000,7000,18,event_overnight,completed,Samuel Kirui,Overnight stay for Wedding guest,2024-11-01T12:00:00
50,5,,2024-11-02,2024-11-04,2,7000,14000,18,event_overnight,completed,Lucy Wanjiku,Overnight stay for Wedding guest,2024-10-30T12:00:00
51,2,,2024-11-09,2024-11-11,2,7000,14000,19,event_overnight,completed,George Mwangi,Overnight stay for Baby Shower guest,2024-11-04T12:00:00
52,3,,2024-11-23,2024-11-24,1,7000,7000,20,event_overnight,completed,Janet Mukami,Overnight stay for Wedding guest,2024-11-20T12:00:00
53,1,,2024-11-23,2024-11-25,2,8000,16000,20,event_overnight,completed,Grace Akinyi,Overnight stay for Wedding guest,2024-11-18T12:00:00
54,2,,2024-11-23,2024-11-24,1,7000,7000,20,event_overnight,completed,James Karanja,Overnight stay for Wedding guest,2024-11-19T12:00:00
